Item Name,SKU,Description,Usage unit
"CPVC BALL VALVE  65 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 100 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 15 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 25 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 40 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 50 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 80 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
CPVC BUTTERFLY VALVE 100 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC BUTTERFLY VALVE 50 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC BUTTERFLY VALVE 65 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC BUTTERFLY VALVE 80 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 100 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 50 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 65 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 80 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
"CPVC PIPE 1"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 1.5"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 2"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 2.5"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 3"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 4"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
DEEPNET MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
DOSING PUMP 0-5 LPH MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
DOSING TANK 100 LTR MAKE: SINTEX,,"MAKE: SINTEX
",NOS
"DRAIN GRILL 200 MM DIA, ANTIVORTEX (VGBA) IN ABS MAKE: PENTAIR",,"MAKE: PENTAIR
",NOS
"DRAIN GRILL 200 MM DIA, ANTIVORTEX IN ABS",,MAKE: PENTAIR,PCS
EARTHING WIRING MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
ELBOW 110 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 160 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 32 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 50 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 63 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 75 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 90 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
END CAP 110 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 110 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 160 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 20 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 25 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 32 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 50 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 63 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 75 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 90 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
FILTER 960 DIA MAKE PENTAIR WITH TOP MOUNTED MPV,,,PCS
FILTER FEED PUMP MAKE: GRUNDFOS,, MAKE: GRUNDFOS,NOS
FILTER FILTER DIA: 1200 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 550 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 760 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 860 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 960 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER IMPORTED  MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER MEDIA,,,KGS
FITTINGS IN CPVC ,,,LOT
FITTINGS IN UPVC (10KGS/CM2),,,LOT
FREIGHT INWARD CENTRAL 12%,,,OTH
FREIGHT INWARD CENTRAL 18%,,,OTH
FREIGHT INWARD CENTRAL 28%,,,OTH
FREIGHT INWARD LOCAL 12%,,,OTH
FREIGHT INWARD LOCAL 18%,,,OTH
FREIGHT INWARD LOCAL 28%,,,OTH
FREIGHT OUTWARD CENTRAL 12%,,,OTH
FREIGHT OUTWARD CENTRAL 18%,,,OTH
FREIGHT OUTWARD CENTRAL 28%,,,OTH
FREIGHT OUTWARD LOCAL 12%,,,OTH
FREIGHT OUTWARD LOCAL 18%,,,OTH
FREIGHT OUTWARD LOCAL 28%,,,OTH
GLASS MEDIA FOR FILTER (20 KG EACH BAG),,"MAKE: WIBI
",BAG
GLASS MEDIA FOR FILTER (25 KG EACH BAG),,"MAKE: WIBI
",BAG
GUTTER DRAIN,,MAKE: PENTAIR,PCS
HEAT PUMP 105 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
