Item Name,SKU,Description,Usage unit
TEE 63 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
TEE 75 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
TEE 90 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
TRANSFORMER 100W/12V MAKE: MEANWELL / DELTA / EQ.,,,NOS
TRANSFORMER 200W/12V MAKE: MEANWELL / DELTA / EQ.,,,NOS
TRITON NEO CLEARPRO FILTER DIA: 480 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
TRITON NEO CLEARPRO FILTER DIA: 762 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
UNDER WATER LED LIGHTS SINGLE COLOUR 12W X 12V MAKE: WIBI,,"MAKE: WIBI
",NOS
UNDER WATER LED LIGHTS SINGLE COLOUR 9W X 12V MAKE: WIBI,,"MAKE: WIBI
",NOS
UNDER WATER LED LINEAR CHANEL LIGHTS SINGLE COLOUR 24W 830MM LENGTH  MAKE: WIBI,,"MAKE: WIBI
",NOS
UNDER WATER LED RING LIGHTS SINGLE COLOUR  MAKE: WIBI,UNDER WATER LED RING LIGHTS SINGLE COLOUR 6W X 12V MAKE: WIBI,"MAKE: WIBI
",MTR
UNDER WATER LED RING LIGHTS SINGLE COLOUR 6W X 12V MAKE: WIBI,,"MAKE: WIBI
",NOS
UNDER WATER LED STAND LIGHTS SINGLE COLOUR 3W X 12V MAKE: WIBI,,"MAKE: WIBI
",NOS
UNDER WATER LED STAND LIGHTS SINGLE COLOUR 6W X 12V MAKE: WIBI,,"MAKE: WIBI
",NOS
UNDER WATER LED STRIP LIGHTS 5W WARM WHITE COLOUR MAKE: WIBI,,"MAKE: WIBI
",MTR
UNDER WATER LED STRIP LIGHTS SINGLE COLOUR MAKE: MADE IN EUROPE,,MAKE: MADE IN EUROPE,NOS
UNDER WATER LED STRIP LIGHTS SINGLE COLOUR MAKE: WIBI,,"MAKE: WIBI
",MTR
UV (16W) WITH ACCESSORIES MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
UV (40W) WITH ACCESSORIES MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
UV (75W) WITH ACCESSORIES MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
VIBRATION ELEMINATORS 2'' MAKE: RASISTOFLEX,,MAKE: HARIT / EQ.,NOS
WATER METER  MAKE: KRANTI,, MAKE: KRANTI,NOS
WATER SOFTNER 325 MM DIA MAKE : PENTAIR,,MAKE : PENTAIR,NOS
WEIGHT FOR LACE  MAKE: WIBI,,"MAKE: WIBI
",NOS
WIRING MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
AUTO - INTELLIPOOL AUTOMATION SYSTEM CE,,MAKE: HARIT / EQ.,NOS
AIR BUBBLING SYSTEM FOR HAVING 40 NOZZLE  MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
JACUZZI ZET,,,NOS
SILCON GUN,,,NOS
BASE,,,OTH
FEMALE THREAD ADAPTOR 32 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
STIRRER MAKE: NOBLE NAUTICA,,,NOS
BUBBLER JET   MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
BUBBLER JET MAKE: NOBLE NAUTICA,,"MAKE: NOBLE NAUTICA
",NOS
PUMPS 1 HP  MAKE: NOBLE NAUTICA,,"MAKE: NOBLE NAUTICA
",NOS
UNDER WATER LED LIGHTS SINGLE COLOUR 9W/24VDC MAKE: NOBLE NAUTICA,,MAKE: NOBLE NAUTICA,MTR
UNDER WATER LED LIGHTS SINGLE COLOUR 6W/12V MAKE: NOBLE NAUTICA,,MAKE: NOBLE NAUTICA,MTR
JUCTION BOX MAKE: NOBLE NAUTICA,,MAKE: NOBLE NAUTICA,NOS
PUMPS 3 HP  MAKE: NOBLE NAUTICA,,"MAKE: NOBLE NAUTICA
",NOS
UNDER WATER STRIP LED LIGHTS SINGLE COLOUR MAKE: NOBLE NAUTICA,,MAKE: NOBLE NAUTICA,MTR
